image_path,text_label
JejuImage/9.81파크.jpg, "A gravity-powered racing kart descending without an engine"
JejuImage/9.81파크1.jpg, "A gravity-powered racing kart descending without an engine"
JejuImage/감따남 착한농장1.jpg, "A tangerine farm where you can experience tangerine picking, visit a café, and take snap photos"
JejuImage/감따남 착한농장2.jpg, "A tangerine farm where you can experience tangerine picking, visit a café, and take snap photos."
JejuImage/군산 오름.jpg, "A hill surrounded by a natural stone wall, resembling a backdrop."
JejuImage/군산 오름2.jpg, "A hill surrounded by a natural stone wall, resembling a backdrop."
JejuImage/김경숙해바라기농장1.jpg, "The largest sunflower farm in Jeju, showcasing vast fields of sunflowers."
JejuImage/김경숙해바라기농장2.jpg, "The largest sunflower farm in Jeju, showcasing vast fields of sunflowers."
JejuImage/김녕해수욕장1.jpg, "A beach with cobalt blue water and silver sands, perfect for relaxing."
JejuImage/김녕해수욕장2.jpg, "A beach with cobalt blue water and silver sands, perfect for relaxing."
JejuImage/낭만농장 귤밭76번지1.jpg, "A tangerine farm where you can pick tangerines and take photos with the backdrop of lush citrus fields."
JejuImage/낭만농장 귤밭76번지2.jpg, "A tangerine farm where you can pick tangerines and take photos with the backdrop of lush citrus fields."
JejuImage/달달미깡감귤밭1.jpg, "A tangerine farm with various photo zones where you can enjoy tangerine picking and capture beautiful photos."
JejuImage/달달미깡감귤밭2.jpg, "A tangerine farm with various photo zones where you can enjoy tangerine picking and capture beautiful photos."
JejuImage/목장카페 밭디1.jpg, "A café where you can experience horseback riding along with enjoying your coffee."
JejuImage/목장카페 밭디2.jpg, "A café where you can experience horseback riding along with enjoying your coffee."
JejuImage/목화오름1.jpg, "A place to take stunning photos with wide open fields and scenic views."
JejuImage/목화오름2.jpg, "A place to take stunning photos with wide open fields and scenic views."
JejuImage/비자림1.jpg, "A natural habitat for rare orchids and plants such as the 'Nado Flower,' 'Wind Orchid,' and 'Black Orchid.'"
JejuImage/비자림2.jpg, "A natural habitat for rare orchids and plants such as the 'Nado Flower,' 'Wind Orchid,' and 'Black Orchid.'"
JejuImage/성산일출봉1.jpg, "A volcanic cone with a pillar-shaped structure, offering a panoramic sunrise view."
JejuImage/성산일출봉2.jpg, "A volcanic cone with a pillar-shaped structure, offering a panoramic sunrise view."
JejuImage/소노캄 제주1.jpg, "A place with heart-shaped trees where you can take photos with the heart-shaped sky backdrop."
JejuImage/소노캄 제주2.jpg, "A place with heart-shaped trees where you can take photos with the heart-shaped sky backdrop."
JejuImage/쇠소깍1.jpg, "A breathtaking spot where you can experience kayaking surrounded by stunning rock formations and lush pine trees."
JejuImage/쇠소깍2.jpg,"A breathtaking spot where you can experience kayaking surrounded by stunning rock formations and lush pine trees."
JejuImage/스누피가든1.jpg, "A garden where you can meet the Peanuts characters and experience empathy and comfort through their relationships."
JejuImage/스누피가든2.jpg, "A garden where you can meet the Peanuts characters and experience empathy and comfort through their relationships."
JejuImage/아침미소 목장1.jpg, "A farm where you can feed calves and enjoy the vast meadow."
JejuImage/아침미소 목장2.jpg, "A farm where you can feed calves and enjoy the vast meadow."
JejuImage/아쿠아플라넷 제주1.jpg, "The largest aquarium in Korea and the eighth largest in the world."
JejuImage/아쿠아플라넷 제주2.jpg, "The largest aquarium in Korea and the eighth largest in the world."
JejuImage/어린왕자 감귤밭1.jpg, "A tangerine farm where you can enjoy tangerine picking and feeding animals."
JejuImage/어린왕자 감귤밭2.jpg, "A tangerine farm where you can enjoy tangerine picking and feeding animals."
JejuImage/오라동 메밀밭1.jpg, "A place to see vast fields of buckwheat flowers in bloom."
JejuImage/오라동 메밀밭2.jpg, "A place to see vast fields of buckwheat flowers in bloom."
JejuImage/오조포구1.jpg, "A picturesque spot where you can take stunning photos on a bridge made of stone."
JejuImage/오조포구2.jpg, "A picturesque spot where you can take stunning photos on a bridge made of stone."
JejuImage/용눈이오름1.jpg, "A famous wedding photo location in autumn when the fields of silver grass bloom."
JejuImage/용눈이오름2.jpg, "A famous wedding photo location in autumn when the fields of silver grass bloom."
JejuImage/윈드19471.jpg, "The largest kart racing track in Korea, offering thrilling kart racing with scenic views of Jeju Island."
JejuImage/윈드19472.jpg, "The largest kart racing track in Korea, offering thrilling kart racing with scenic views of Jeju Island."
JejuImage/제라진어드벤쳐1.jpg, "A place where you can experience off-road adventures."
JejuImage/제라진어드벤쳐2.jpg, "A place where you can experience off-road adventures."
JejuImage/카페모알보알 제주점1.jpg, "A café with a Filipino or Balinese vibe, offering a unique atmosphere."
JejuImage/카페모알보알 제주점2.jpg, "A café with a Filipino or Balinese vibe, offering a unique atmosphere."
JejuImage/카페아오오1.jpg, "A café offering a relaxing ocean view for a perfect healing experience."
JejuImage/카페아오오2.jpg, "A café offering a relaxing ocean view for a perfect healing experience."
JejuImage/표선해수욕장1.jpg, "A beach with a circular shape of white sand, one of the most beautiful spots in Jeju."
JejuImage/표선해수욕장2.jpg, "A beach with a circular shape of white sand, one of the most beautiful spots in Jeju."
JejuImage/표선해수욕장3.jpg, "A beach with a circular shape of white sand, one of the most beautiful spots in Jeju."
JejuImage/한라산1.jpg, "A volcano where you can enjoy nature and stunning views."
JejuImage/한라산2.jpg, "A volcano where you can enjoy nature and stunning views."
JejuImage/현애원1.jpg, "A place to see vibrant hydrangeas in various colors during the blooming season."
JejuImage/현애원2.jpg, "A place to see vibrant hydrangeas in various colors during the blooming season."
JejuImage/먹쿠슬낭1.jpg,A cafe where you can eat mango bingsu
JejuImage/먹쿠슬낭2.jpg,A cafe with exposed concrete interior design
JejuImage/앙뚜아네트1.jpg,An ocean view cafe where you can take photos with an airplane
JejuImage/앙뚜아네트2.jpg,A cafe where you can enjoy brunch and bakery
